x,y,curasd
2.96128402e+00,-3.72007290e-02,-1.71166237e-02
2.97583345e+00,-3.74830170e-02,-2.14295121e-03
3.01281165e+00,-3.82035980e-02,-2.32891749e-03
3.01573822e+00,-3.82612160e-02,-1.14307830e-01
3.02152971e+00,-3.83753310e-02,-1.76637892e-02
3.02996426e+00,-3.85422750e-02,-1.22575432e-02
3.04354041e+00,-3.88132590e-02,-7.99303831e-03
3.05738981e+00,-3.90918950e-02,-5.93131373e-03
3.07046131e+00,-3.93556050e-02,-6.38409151e-03
3.08437108e+00,-3.96368660e-02,-1.13912334e-02
3.09800105e+00,-3.99151010e-02,-1.43987772e-02
3.11150495e+00,-4.01935820e-02,-1.33420572e-02
3.12520358e+00,-4.04782860e-02,-7.52982775e-03
3.14204748e+00,-4.08307480e-02,-5.59804080e-03
3.15323506e+00,-4.10657930e-02,-3.57776034e-03
3.16626944e+00,-4.13398440e-02,-4.53849635e-03
3.17981153e+00,-4.16248190e-02,-8.08572434e-03
3.19528314e+00,-4.19529400e-02,-1.07404681e-02
3.20706372e+00,-4.22049350e-02,-5.88288049e-03
3.22045010e+00,-4.24921330e-02,-3.35960188e-04
3.23526273e+00,-4.28090650e-02,-4.06919853e-03
3.24881400e+00,-4.31000840e-02,-9.55102694e-03
3.26119488e+00,-4.33678830e-02,-5.21836633e-03
3.27513342e+00,-4.36704050e-02,5.57264244e-04
3.28800447e+00,-4.39493320e-02,3.34363263e-04
3.30203014e+00,-4.42528460e-02,-4.68858995e-03
3.31563181e+00,-4.45482470e-02,-8.18850804e-03
3.32870885e+00,-4.48341420e-02,-7.12685586e-03
3.34148726e+00,-4.51143870e-02,-5.55884396e-03
3.35539780e+00,-4.54204300e-02,-6.05158587e-03
3.36889484e+00,-4.57185860e-02,-4.59845240e-03
3.38297008e+00,-4.60307400e-02,-4.93312393e-03
3.39483161e+00,-4.62937270e-02,-8.69031760e-03
3.40925954e+00,-4.66159250e-02,-4.60317568e-03
3.42624225e+00,-4.69967230e-02,-2.21250544e-03
3.43696052e+00,-4.72372460e-02,-2.43266897e-03
3.45102889e+00,-4.75528450e-02,-5.72790217e-03
3.46371921e+00,-4.78389210e-02,-7.35207225e-03
3.47715116e+00,-4.81431030e-02,-4.79478187e-03
3.49052301e+00,-4.84466360e-02,-2.11657544e-03
3.50588531e+00,-4.87960270e-02,-1.04880826e-03
3.51979013e+00,-4.91120740e-02,-2.23400338e-03
3.53185533e+00,-4.93870030e-02,-4.16982622e-04
3.55417445e+00,-4.98954670e-02,4.83363500e-04
3.56500323e+00,-5.01420090e-02,2.50425405e-04
3.57725544e+00,-5.04208740e-02,-3.10787096e-04
3.58643842e+00,-5.06302580e-02,7.61290205e-05
3.61659149e+00,-5.13166800e-02,-1.32471937e-03
3.62181859e+00,-5.14359600e-02,-3.95234325e-03
3.64131352e+00,-5.18813450e-02,1.54027712e-04
3.65465658e+00,-5.21860150e-02,-2.30917921e-03
3.66783653e+00,-5.24869800e-02,-5.83774611e-03
3.68224950e+00,-5.28179280e-02,-4.29761336e-03
3.69645204e+00,-5.31449840e-02,-1.38725184e-03
3.70900327e+00,-5.34340670e-02,4.85521463e-04
3.72520777e+00,-5.38072110e-02,9.49247139e-04
3.74007717e+00,-5.41492940e-02,3.04340914e-03
3.75000639e+00,-5.43774400e-02,5.07606117e-03
3.76396619e+00,-5.46974360e-02,2.69938488e-03
3.77720715e+00,-5.49998880e-02,-9.18389585e-04
3.79152819e+00,-5.53276300e-02,-7.63204655e-04
3.80510414e+00,-5.56389530e-02,2.83615571e-03
3.81871027e+00,-5.59497150e-02,1.88130729e-03
3.83240163e+00,-5.62622010e-02,-9.10601479e-04
3.84638342e+00,-5.65816090e-02,-2.41008526e-03
3.86158328e+00,-5.69291700e-02,-2.78890597e-03
3.87460623e+00,-5.72281200e-02,5.52793074e-04
3.88881843e+00,-5.75537730e-02,3.03300477e-03
3.90199121e+00,-5.78550060e-02,3.25227563e-03
3.91606609e+00,-5.81763860e-02,6.79083393e-04
3.94434338e+00,-5.88214780e-02,9.77870360e-04
3.94856277e+00,-5.89175620e-02,1.51231986e-02
3.95647282e+00,-5.90976040e-02,1.49285219e-03
3.97009767e+00,-5.94069670e-02,3.47930852e-04
3.98253361e+00,-5.96896430e-02,1.15764496e-03
3.99758930e+00,-6.00314580e-02,1.35194290e-03
4.01172795e+00,-6.03519870e-02,-1.26085691e-03
